DATE,TB3MS,returns
1988-03-01,5.7,0.007067137809187329
1988-04-01,5.91,0.03684210526315779
1988-05-01,6.26,0.05922165820642977
1988-06-01,6.46,0.03194888178913735
1988-07-01,6.73,0.04179566563467496
1988-08-01,7.06,0.04903417533432375
1988-09-01,7.24,0.025495750708215414
1988-10-01,7.35,0.015193370165745845
1988-11-01,7.76,0.05578231292517
1988-12-01,8.07,0.0399484536082475
1989-01-01,8.27,0.024783147459727317
1989-02-01,8.53,0.03143893591293834
1989-03-01,8.82,0.03399765533411503
1989-04-01,8.65,-0.019274376417233507
1989-05-01,8.43,-0.025433526011560792
1989-06-01,8.15,-0.033214709371292894
1989-07-01,7.88,-0.03312883435582825
1989-08-01,7.9,0.002538071065989911
1989-09-01,7.75,-0.01898734177215189
1989-10-01,7.64,-0.014193548387096855
1989-11-01,7.69,0.00654450261780104
1989-12-01,7.63,-0.007802340702210753
1990-01-01,7.64,0.001310615989515096
1990-02-01,7.74,0.01308900523560208
1990-03-01,7.9,0.02067183462532296
1990-04-01,7.77,-0.016455696202531733
1990-05-01,7.74,-0.0038610038610037423
1990-06-01,7.73,-0.0012919896640826156
1990-07-01,7.62,-0.014230271668822847
1990-08-01,7.45,-0.022309711286089273
1990-09-01,7.36,-0.012080536912751683
1990-10-01,7.17,-0.025815217391304435
1990-11-01,7.06,-0.015341701534170249
1990-12-01,6.74,-0.04532577903682711
1991-01-01,6.22,-0.07715133531157281
1991-02-01,5.94,-0.04501607717041789
1991-03-01,5.91,-0.005050505050505083
1991-04-01,5.65,-0.04399323181049064
1991-05-01,5.46,-0.03362831858407089
1991-06-01,5.57,0.020146520146520297
1991-07-01,5.58,0.0017953321364452268
1991-08-01,5.33,-0.04480286738351258
1991-09-01,5.22,-0.0206378986866792
1991-10-01,4.99,-0.044061302681992265
1991-11-01,4.56,-0.08617234468937884
1991-12-01,4.07,-0.10745614035087703
1992-01-01,3.8,-0.0663390663390665
1992-02-01,3.84,0.010526315789473717
1992-03-01,4.04,0.05208333333333348
1992-04-01,3.75,-0.07178217821782173
1992-05-01,3.63,-0.03200000000000003
1992-06-01,3.66,0.008264462809917328
1992-07-01,3.21,-0.12295081967213117
1992-08-01,3.13,-0.024922118380062308
1992-09-01,2.91,-0.07028753993610215
1992-10-01,2.86,-0.01718213058419249
1992-11-01,3.13,0.09440559440559437
1992-12-01,3.22,0.028753993610223683
1993-01-01,3.0,-0.06832298136645965
1993-02-01,2.93,-0.023333333333333317
1993-03-01,2.95,0.006825938566553003
